DocumentNumber,County,Narrative
20223182930,Franklin County,Unit #2 was facing east bound in the drive-thru at the window of Taco Bell located at 4517 Kenny Rd. in front of Unit #1.  Unit #1 was facing eat bound in the drive-thru of Taco Bell located at 4517 Kenny Rd. behind Unit #2.  Unit #1 was the hit-skip unit and not on scene.  The driver of Unit #2 stated he was stopped at the drive-thru window when Unit #1 struck the rear of Unit #1 causing minor damage.  The driver of Unit #2 stated he attempted to get the information from the Unit of Driver #1 but was only able to get the driver's name and a phone number which was illegible.  The driver of Unit #2 stated he was not able to get the information from the passenger in Unit #1.  The driver of Unit #2 took a photo of the license plate of Unit #1 which led the responding Officer to gain the information of the registered owner; phone number; and address of the driver of Unit #1.  The driver of Unit #2 spoke with an employee of Taco Bell and was directed to return the following day for a copy of the surveillance in the drive-thru.  Responding Officer attempted but was unable to get in contact with the driver of Unit #1; who's address was listed in Marion; Ohio.  Unit #2 sustained minor damage to the rear bumper.  It is unknown if Unit #1 sustained any damage.  There were no reported injuries as a result of the accident.
20223184586,Franklin County,Driver of Unit #2 stated she was in the drive thru line at Mcdonalds.  Driver of Unit #2 stated that the line was moving slow and Unit #1 who was directly behind her attempted to get of line to leave.  Driver of Unit #2 stated that is when Unit #2 struck the rear passenger side of her vehicle with the front driver side of Unit #1.  Driver of Unit #2 got out of the car and briefly spoke with driver of Unit #1 who stated he would pay her cash for the damage.  Driver of Unit #1 stated she wanted the police to come and that is when the driver of Unit #1 took off.  Driver of Unit #2 stated the driver was a male/black and the car was a white dodge challenger and that is all the information she could provide.  Officers attempted to go back to the scene the next day to view the cameras at the business but the business would not cooperate and would not allow officers to view the cameras.  Driver of Unit #2 was provided an incident # and told a report would be taken.  Driver stated she was not hurt and did not need any medical attention. 
20223185418,Franklin County,On 9/29/2022 at approximately 6:04 PM; Officer A. McDonald #2811 and Officer E. Bateman #2578; wearing the uniform of the day and working CPD marked PTV 128 were dispatched to E. Main St. and S. Nelson Rd. in response to an auto accident with property damage only. Upon arrival; Officer McDonald spoke with the driver of unit #1 who was identified by his Ohio identification card as Martin Williamson. Mr. Williamson stated that he was traveling in the lane closest to the double yellow line. Mr. Williamson stated that he attempted to change lanes and struck unit #2. Mr. Williamson advised Officer McDonald that he didn't have a valid drivers license. Officer McDonald ran Mr. Williamson through the LEADS database and Mr. Williamson was driving under suspension. Mr. Williamson was cited for driving under suspension and changing lanes without safety. The vehicle that Mr. Williamson was driving was released to the owner; Jeanee Truman; who was a passenger in the vehicle. 
20223190526,Franklin County,Operator of Unit #2 stated that he was crossing through the intersection on a green light from North to South from the private drive by the Taco Bell to head South onto Morse Crossing in the #1 lane; when he got past the intersection Unit #1 had made a right hand turn from Morse Rd. onto Morse Crossing and came into the #1 lane and struck the right passenger side of Unit #2.  Operator of Unit #2 got out of his vehicle and spoke with the Operator of Unit #1.   Operator of Unit #2 stated that Operator of Unit#1 was hesitant to provide any information; and when Operator of Unit #2 stated he was going to call the police; Operator of Unit #1 drove off from the scene; running over the right foot of Operator #2 with the front left and rear left tire of Unit #1 and left the scene.  Operator of Unit #2 called the police; but left the scene prior to police arrival.   Operator of Unit #2 stated he transported himself to Ohio Health Hospital in Pickerington; OH for treatment to his right foot.  Operator of Unit #2 called the police the next morning when he got home from the hospital to report the injury accident.  Operator of Unit #2 stated that Unit #1 was a silver Toyota Rav 4 possible 2004 model with Ohio Tag JNY3210.  The operator was a male; that was bald; heavy accent; yellow eyes; around 60 years old about 5'9 and heavy set.
20223191468,Franklin County,Unit 2 was stopped facing S/B in the parking lot at 2626 Bethel Rd (Wendy's)  just west of Pickford Dr.  Unit 1 was directly behind unit 2 also facing S/B.  Unit 1 failed to stop in time and rear ended unit 2.  Unit 1 then drove around unit 2 and fled the scene without stopping.  Driver of unit 2 stated unit 1 was a white Ford Bronco partial Oh tag #JVS driven by a male.  No injuries were reported and accounts verified by driver of unit 2.
20223195201,Franklin County,On 10/15/2022 at approximately 6:33 PM; Officer A. McDonald #2811 and Officer A. Earle #3091 were dispatched to Franklin Park S. and S. Nelson Rd. in response to a auto accident with injury.Prior to arrival; a witness stated that the white truck had swerved into oncoming traffic resulting in the accident. Officers spoke with the driver of Unit #1 who was identified by his Ohio drivers license as Stanley Howard. Mr. Howard stated that the driver of unit #2 was left of center resulting in the accident. Officer spoke to the listed witnesses who stated that they observed Mr. Howard traveling S/B on S. Nelson Rd. approaching Franklin Park S. The witnesses stated that they observed Mr. Howard go left of center resulting in the accident. Officers ran Mr. Howard through the Leads database and Mr. Howard was driving under suspension. The driver of unit #2; Kathleen Harrison; was transported to a area hospital for injuries sustained during the accident.  Unit #1 was impounded by ProTow.
20223196709,Franklin County,Unit 2 was stopped in traffic on Stringtown Rd facing west to east in the #2 lane.  Unit 1 exited an access street to the south of Stringtown Rd near Taco Bell at 2408 Stringtown Rd going east on Stringtown Rd.  Unit 1 attempted to merge into the #2 lane.  Unit 1's front passenger side struck Unit 2's driver's side.  
20223204693,Franklin County,On 10/23/2022 at approximately 12:26 PM; Unit #1 was travelling eastbound on Morse Road; just east of the intersection at Chesford Rd. Unit #2 was pulling out of the Subway just to the east of the intersection at Chesford Road and was attempting to make a left turn. Unit #1 struck Unit #2 on its left driver side. Both units sustained disabling damage. The driver of Unit #2 was transported by Medic #61 to Riverside Hospital in stable condition. Driver #2 was cited for driving under suspension and Driver #1 was cited for driving with no operators license. Both units were towed from scene. 
20223215227,Franklin County,Unit #1 was traveling from west to east on Stringtown Rd. in the curb lane. Unit #2 was turning right; from west to south into the McDonald's driveway; from the curb lane on Stringtown Rd. Unit #1 swerved out of his lane to avoid Unit #2 and Unit #1 struck the left rear corner of Unit #2 with the right front corner of his vehicle. Unit #1 left the scene without leaving any information. Unit #1 later called the police. Unit #1 was issued a summons for Marked Lanes and Hit Skip.
20223216294,Franklin County,Officer was dispatched to listed location on a report of hit-skip accident; vehicle vs. pole.  Officer arrived and spoke with New Albany PD who stated a witness working at Taco Bell across the street; heard the accident while taking out the trash.  Mr. Wyatt Stout; 545 Windsor St 43302; 740 396 6877  did not see the accident happen; but observed a male exit the vehicle and get into a red sedan and leave.  Officer followed up at listed address on registered vehicle but there was no answer.  Officer had the vehicle impounded for Hit Skip to 2700 Impound Lot Rd. by ProwTow.  CFD responded and notified NAPD that wires were live.  Electric Company was enroute to handle electrical issue since pole was down blocking the street.
20223216618,Franklin County,Unit #1 stated that he was traveling west bound on McCutcheon rd at Steltzer Rd attempting to turn north onto Steltzer Rd from the far right lane.  Unit #1 stated that he had the red light and had been stopped for several seconds then proceeded to make his turn when he had the clearance to do so.  Unit #1 stated that Pedestrian #2 was in the crosswalk and he did not see her.  Unit #1 struck Pedestrian #2 knocking her to the ground. Unit #1 stopped to ask if she was OK but Pedestrian #2 got up and continued to walk to her place of employment at the subway on Steltzer Rd. Unit #1 followed her to Subway and called Police and Medic. Pedestrian #2 stated that she was in the cross walk on the north intersection of McCutcheon Rd and Steltzer Rd crossing east bound. Pedestrian #1 stated that she had the walk sign when she crossed when Unit #1 struck her. Pedestrian #1 was transported to OSU East Hospital via Mifflin TWP Medic #134 in stable condition.  Due to no witness on scene and conflicting stories; no citation was issued. 
